latitude,longitude,reporting_area,site_number,site_name,sample_id,p450,PAHgroup8
47.29,-122.41,11,45,Comm Bay Skookum,37,6405635.77,7
47.29,-122.41,11,45,Comm Bay Skookum,38,6222160.272,7
47.29,-122.41,11,45,Comm Bay Skookum,40,4652774.201,7
48.21423,-122.718972,8.1,3,Penn Cove Reference,41,1820616.389,2
48.21423,-122.718972,8.1,3,Penn Cove Reference,42,3013774.793,2
48.21423,-122.718972,8.1,3,Penn Cove Reference,43,956165.3963,2
48.21423,-122.718972,8.1,3,Penn Cove Reference,44,3372680.626,2
47.6427936,-122.6967068,10,35,"Silverdale, Dyes Inlet",45,958896.736,5
47.6427936,-122.6967068,10,35,"Silverdale, Dyes Inlet",46,1900324.089,5
47.6427936,-122.6967068,10,35,"Silverdale, Dyes Inlet",47,1494268.126,5
47.6427936,-122.6967068,10,35,"Silverdale, Dyes Inlet",48,1326495.432,5
48.69368,-122.90985,7,60,"Eastsound, Fishing Bay",49,5588536.414,6
48.69368,-122.90985,7,60,"Eastsound, Fishing Bay",50,420155.34,6
48.69368,-122.90985,7,60,"Eastsound, Fishing Bay",51,5289198.37,6
48.69368,-122.90985,7,60,"Eastsound, Fishing Bay",52,776432.7164,6
47.54167,-122.64034,10,25,Kitsap St Boat Launch,53,3525403.086,7
47.54167,-122.64034,10,25,Kitsap St Boat Launch,54,990428.3988,7
47.54167,-122.64034,10,25,Kitsap St Boat Launch,55,1035758.422,7
47.54167,-122.64034,10,25,Kitsap St Boat Launch,56,5860347.517,7
47.61889,-122.5275,10,31,Eagle Harbor Dr,57,2871509.72,7
47.61889,-122.5275,10,31,Eagle Harbor Dr,58,939065.4732,7
47.61889,-122.5275,10,31,Eagle Harbor Dr,59,2018230.909,7
47.61889,-122.5275,10,31,Eagle Harbor Dr,60,1556796.569,7
48.482448,-122.583879,7,63,"Fidalgo Bay Aq Reserve, Weaverling Spit",62,1670358.346,7
48.482448,-122.583879,7,63,"Fidalgo Bay Aq Reserve, Weaverling Spit",63,4330873.92,7
48.482448,-122.583879,7,63,"Fidalgo Bay Aq Reserve, Weaverling Spit",64,3613765.45,7
47.11795,-122.83359,13,71,Meyer's Point - Henderson Inlet,65,3127318.578,3
47.11795,-122.83359,13,71,Meyer's Point - Henderson Inlet,66,2281891.641,3
47.11795,-122.83359,13,71,Meyer's Point - Henderson Inlet,67,935925.8221,3
47.11795,-122.83359,13,71,Meyer's Point - Henderson Inlet,68,2665541.551,3
47.61862,-122.36108,10,19,Elliot Bay Myrtle Edwards,69,1806125.391,8
47.61862,-122.36108,10,19,Elliot Bay Myrtle Edwards,70,2362697.601,8
47.61862,-122.36108,10,19,Elliot Bay Myrtle Edwards,71,3124140.742,8
47.61862,-122.36108,10,19,Elliot Bay Myrtle Edwards,72,2002595.476,8
47.61862,-122.36108,10,19,Elliot Bay Myrtle Edwards,73,2882039.042,8
47.386977,-122.6367089,13,47,"Purdy, Burley Lagoon",74,3561413.583,3
47.386977,-122.6367089,13,47,"Purdy, Burley Lagoon",75,4065347.042,3
47.386977,-122.6367089,13,47,"Purdy, Burley Lagoon",76,1243697.714,3
47.386977,-122.6367089,13,47,"Purdy, Burley Lagoon",77,6878481.422,3
47.607,-122.342,10,17,"Seattle Aquarium, Pier 59",78,2711671.665,8
47.607,-122.342,10,17,"Seattle Aquarium, Pier 59",79,2380701.981,8
47.607,-122.342,10,17,"Seattle Aquarium, Pier 59",80,4563731.25,8
47.607,-122.342,10,17,"Seattle Aquarium, Pier 59",81,2492093.031,8
48.024789,-122.998135,6,2,Jamestown,82,2974825.251,1
48.024789,-122.998135,6,2,Jamestown,83,4846845.298,1
48.024789,-122.998135,6,2,Jamestown,84,2235572.381,1
48.024789,-122.998135,6,2,Jamestown,85,3342764.583,1
48.024789,-122.998135,6,2,Jamestown,86,2775717.403,1
48.024789,-122.998135,6,2,Jamestown,87,2874749.561,1
48.02218,-122.728709,9,10,Oak Bay County Park,88,2227397.544,1
48.02218,-122.728709,9,10,Oak Bay County Park,89,3074510.978,1
48.02218,-122.728709,9,10,Oak Bay County Park,90,2424308.25,1
48.02218,-122.728709,9,10,Oak Bay County Park,91,1614686.09,1
47.63237,-122.37869,10,15,"Smith Cove, Terminal 91",92,2166610.684,8
47.63237,-122.37869,10,15,"Smith Cove, Terminal 91",93,7730819.154,8
47.63237,-122.37869,10,15,"Smith Cove, Terminal 91",94,1618147.398,8
47.63237,-122.37869,10,15,"Smith Cove, Terminal 91",95,4318288.155,8
47.68234,-122.5064,10,23,Brackenwood Ln,96,1269668.342,5
47.68234,-122.5064,10,23,Brackenwood Ln,97,2011541.496,5
47.68234,-122.5064,10,23,Brackenwood Ln,98,1651491.582,5
47.68234,-122.5064,10,23,Brackenwood Ln,99,2161794.197,5
48.04906,-122.7724,9,8,Chimacum Creek delta,100,2951353.397,2
48.04906,-122.7724,9,8,Chimacum Creek delta,101,1782911.97,2
48.04906,-122.7724,9,8,Chimacum Creek delta,102,2742036.848,2
48.04906,-122.7724,9,8,Chimacum Creek delta,103,3088892.791,2
47.5706,-122.9717,12,29,Hood Canal Holly,106,291624.5775,1
47.5706,-122.9717,12,29,Hood Canal Holly,107,1692339.728,1
47.5706,-122.9717,12,29,Hood Canal Holly,109,380080.3829,1
47.3062,-122.5145,11,43,Point Defiance Ferry,110,2208900.968,6
47.3062,-122.5145,11,43,Point Defiance Ferry,111,1482316.17,6
47.3062,-122.5145,11,43,Point Defiance Ferry,112,2846056.156,6
47.3062,-122.5145,11,43,Point Defiance Ferry,113,1927874.431,6
47.292549,-122.412175,11,48,"Comm Bay, Dick Gilmur Launch",115,4636576.897,7
47.292549,-122.412175,11,48,"Comm Bay, Dick Gilmur Launch",116,4040139.802,7
47.292549,-122.412175,11,48,"Comm Bay, Dick Gilmur Launch",117,2353037.661,7
47.259189,-122.434689,11,46,Thea Foss Waterway,118,735844.6195,7
47.259189,-122.434689,11,46,Thea Foss Waterway,119,1453865.493,7
47.259189,-122.434689,11,46,Thea Foss Waterway,122,8793139.785,7
47.29464,-122.53053,11,40,Salmon Beach,123,917067.5299,5
47.29464,-122.53053,11,40,Salmon Beach,124,2352820.111,5
47.29464,-122.53053,11,40,Salmon Beach,126,1382917.518,5
47.1905742,-122.5834897,13,56,Chambers Bay Park,127,22777074.12,3
47.1905742,-122.5834897,13,56,Chambers Bay Park,128,3578424.227,3
47.1905742,-122.5834897,13,56,Chambers Bay Park,129,4479918.422,3
47.1905742,-122.5834897,13,56,Chambers Bay Park,130,4173684.324,3
47.33785,-122.58277,11,58,Gig Harbor Boat Launch,131,5582112.933,5
47.33785,-122.58277,11,58,Gig Harbor Boat Launch,132,2734668.648,5
47.33785,-122.58277,11,58,Gig Harbor Boat Launch,133,5447066.128,5
47.33785,-122.58277,11,58,Gig Harbor Boat Launch,134,1608895.294,5
48.0617,-122.2939,8.2,67,Tulalip Bay,135,6050177.064,3
48.0617,-122.2939,8.2,67,Tulalip Bay,136,3475076.688,3
48.0617,-122.2939,8.2,67,Tulalip Bay,137,7541125.753,3
48.0617,-122.2939,8.2,67,Tulalip Bay,138,5438127.301,3
48.0617,-122.2939,8.2,67,Tulalip Bay,139,4707732.41,3
48.0617,-122.2939,8.2,67,Tulalip Bay,140,5420960.261,3
47.2632444,-122.385731,11,42,Blair Waterway #2,141,7415687.477,7
47.2632444,-122.385731,11,42,Blair Waterway #2,142,2336026.125,7
47.2632444,-122.385731,11,42,Blair Waterway #2,143,3199450.886,7
47.2632444,-122.385731,11,42,Blair Waterway #2,144,4752300.998,7
47.38566,-122.627255,13,57,Purdy - Dexters,145,5961109.649,2
47.38566,-122.627255,13,57,Purdy - Dexters,146,5111770.767,2
47.38566,-122.627255,13,57,Purdy - Dexters,147,3923932.654,2
47.38566,-122.627255,13,57,Purdy - Dexters,148,3318363.023,2
47.27568,-122.4173,11,41,Blair Waterway,149,4234624.268,7
47.27568,-122.4173,11,41,Blair Waterway,150,5143570.449,7
47.27568,-122.4173,11,41,Blair Waterway,151,4339810.41,7
47.27568,-122.4173,11,41,Blair Waterway,152,3633029.828,7
47.57995505,-122.6786,10,28,Madrona Pont,153,11889909.51,3
47.57995505,-122.6786,10,28,Madrona Pont,154,6650989.658,3
47.57995505,-122.6786,10,28,Madrona Pont,155,3417932.42,3
47.57995505,-122.6786,10,28,Madrona Pont,156,6111407.362,3
47.2694,-122.4243,11,49,"Comm Bay, Milwaukee Waterway",157,4263664.216,6
47.2694,-122.4243,11,49,"Comm Bay, Milwaukee Waterway",158,13167666.99,6
47.2694,-122.4243,11,49,"Comm Bay, Milwaukee Waterway",159,3461398.645,6
47.2694,-122.4243,11,49,"Comm Bay, Milwaukee Waterway",160,8190625.093,6
47.2694,-122.4243,11,49,"Comm Bay, Milwaukee Waterway",161,7886778.001,6
48.064957,-122.857524,6,12,Discovery Bay,162,5436068.044,3
48.064957,-122.857524,6,12,Discovery Bay,163,5773097.603,3
48.064957,-122.857524,6,12,Discovery Bay,164,1513620.949,3
48.064957,-122.857524,6,12,Discovery Bay,165,3207157.892,3
47.794695,-122.499858,10,36,Kingston Marina,166,2382760.203,3
47.794695,-122.499858,10,36,Kingston Marina,167,7415597.328,3
47.794695,-122.499858,10,36,Kingston Marina,168,4668353.64,3
47.794695,-122.499858,10,36,Kingston Marina,169,7376507.593,3
47.578117,-122.524833,10,32,Rich Passage,170,1476766.089,4
47.578117,-122.524833,10,32,Rich Passage,171,11738655.54,4
47.578117,-122.524833,10,32,Rich Passage,172,2880896.804,4
47.578117,-122.524833,10,32,Rich Passage,173,4148180.202,4
47.19483,-122.748665,13,59,Filucy Bay,174,12472187.71,2
47.19483,-122.748665,13,59,Filucy Bay,175,6726341.292,2
47.19483,-122.748665,13,59,Filucy Bay,176,13491947.47,2
47.19483,-122.748665,13,59,Filucy Bay,177,10820612.01,2
47.3539722,-122.69175,13,55,Minter Bay,178,5146723.322,2
47.3539722,-122.69175,13,55,Minter Bay,179,6537217.569,2
47.3539722,-122.69175,13,55,Minter Bay,180,11216181.9,2
47.3539722,-122.69175,13,55,Minter Bay,181,9219025.002,2
47.052362,-122.910912,13,73,West Bay Park,182,10107486.98,5
47.052362,-122.910912,13,73,West Bay Park,183,4200103.946,5
47.052362,-122.910912,13,73,West Bay Park,184,15718987.84,5
47.052362,-122.910912,13,73,West Bay Park,185,4006827.467,5
47.074603,-123.003527,13,72,Eld Inlet,186,5090880.532,2
47.074603,-123.003527,13,72,Eld Inlet,187,1009808.987,2
47.074603,-123.003527,13,72,Eld Inlet,188,16612698.02,2
47.074603,-123.003527,13,72,Eld Inlet,189,16495985.01,2
48.0697859,-122.2997764,8.2,70,Tulalip Reservation,190,9509258.245,3
48.0697859,-122.2997764,8.2,70,Tulalip Reservation,191,3760565.538,3
48.0697859,-122.2997764,8.2,70,Tulalip Reservation,192,4598259.843,3
48.0697859,-122.2997764,8.2,70,Tulalip Reservation,193,2520935.427,3
47.30515,-122.44441,11,54,Browns Point Lighthouse,194,1869821.038,6
47.30515,-122.44441,11,54,Browns Point Lighthouse,195,10377435.58,6
47.30515,-122.44441,11,54,Browns Point Lighthouse,196,9951688.477,6
47.30515,-122.44441,11,54,Browns Point Lighthouse,197,9992061.521,6
47.17650485,-122.9046464,13,38,Squaxin Island,198,9659247.354,2
47.17650485,-122.9046464,13,38,Squaxin Island,199,5609583.919,2
47.17650485,-122.9046464,13,38,Squaxin Island,200,6607121.565,2
47.17650485,-122.9046464,13,38,Squaxin Island,201,2867681.855,2
47.30008,-122.74566,13,51,Maple Hollow Park,202,5080836.143,2
47.30008,-122.74566,13,51,Maple Hollow Park,203,34233996.15,2
47.30008,-122.74566,13,51,Maple Hollow Park,204,1210308.55,2
47.9726,-122.22977,8.2,66,Everett Harbor,206,8135083.408,5
47.9726,-122.22977,8.2,66,Everett Harbor,207,6115909.82,5
47.9726,-122.22977,8.2,66,Everett Harbor,208,5808286.72,5
47.9726,-122.22977,8.2,66,Everett Harbor,209,3196291.185,5
48.52108,-122.61531,7,62,N Avenue Park,210,3680655.654,8
48.52108,-122.61531,7,62,N Avenue Park,211,8637808.831,8
48.52108,-122.61531,7,62,N Avenue Park,212,5167149.882,8
48.52108,-122.61531,7,62,N Avenue Park,213,9574141.682,8
48.520971,-122.600717,7,64,Cap Sante,214,1293401.195,5
48.520971,-122.600717,7,64,Cap Sante,215,4081902.821,5
48.520971,-122.600717,7,64,Cap Sante,216,1544138.095,5
48.520971,-122.600717,7,64,Cap Sante,217,11524795.48,5
47.32598,-122.66724,13,53,Raft Island Park,218,6066970.935,2
47.32598,-122.66724,13,53,Raft Island Park,219,6061146.136,2
47.32598,-122.66724,13,53,Raft Island Park,220,3033147.325,2
47.32598,-122.66724,13,53,Raft Island Park,221,1581058.797,2
48.5069444,-123.0194444,7,61,Friday Harbor,222,6899778.5,2
48.5069444,-123.0194444,7,61,Friday Harbor,223,4285885.482,6
48.5069444,-123.0194444,7,61,Friday Harbor,224,3660475.27,6
48.5069444,-123.0194444,7,61,Friday Harbor,225,6465686.829,6
48.5069444,-123.0194444,7,61,Friday Harbor,226,5908857.287,6
47.81407,-122.3825,9,69,Edmonds Ferry,227,16349554,5
47.81407,-122.3825,9,69,Edmonds Ferry,228,7086401.343,5
47.81407,-122.3825,9,69,Edmonds Ferry,229,5844279.76,5
47.81407,-122.3825,9,69,Edmonds Ferry,230,3776739.987,5
47.4436,-122.360316,11,20,Miller Creek,231,5993436.247,4
47.4436,-122.360316,11,20,Miller Creek,232,30697269.95,4
47.4436,-122.360316,11,20,Miller Creek,233,8815608.939,4
47.4436,-122.360316,11,20,Miller Creek,234,18090510.68,4
48.77636877,-122.5378679,7,76,Locust Beach,235,1911450.926,1
48.77636877,-122.5378679,7,76,Locust Beach,236,2007311.21,1
48.77636877,-122.5378679,7,76,Locust Beach,237,3303875.928,1
48.77636877,-122.5378679,7,76,Locust Beach,238,2252563.285,1
48.6793778,-122.6300583,7,77,Aiston Preserve,239,9716178.442,1
48.6793778,-122.6300583,7,77,Aiston Preserve,240,1358796.759,1
48.6793778,-122.6300583,7,77,Aiston Preserve,241,4914880.479,1
48.6793778,-122.6300583,7,77,Aiston Preserve,242,2861585.576,1
48.12823,-123.45715,6,1,Port Angeles Yacht Club,243,5418303.459,8
48.12823,-123.45715,6,1,Port Angeles Yacht Club,244,6195514.045,8
48.12823,-123.45715,6,1,Port Angeles Yacht Club,245,4874820.912,8
48.12823,-123.45715,6,1,Port Angeles Yacht Club,246,2729240.396,8
48.12823,-123.45715,6,1,Port Angeles Yacht Club,247,12351981.85,8
48.12823,-123.45715,6,1,Port Angeles Yacht Club,248,2439233.143,8
47.30973,-122.68868,13,52,Kopachuck State Park,249,7962916.9,1
47.30973,-122.68868,13,52,Kopachuck State Park,250,9304019.663,1
47.30973,-122.68868,13,52,Kopachuck State Park,251,2452740.173,1
47.66586,-122.56698,10,26,Williams Olson Park,252,5178289.976,4
47.30973,-122.68868,13,52,Kopachuck State Park,253,8335261.529,1
47.66586,-122.56698,10,26,Williams Olson Park,254,1570655.683,4
47.66586,-122.56698,10,26,Williams Olson Park,255,1267046.112,4
47.66586,-122.56698,10,26,Williams Olson Park,256,4252322.006,4
47.66142,-122.49884,10,24,Skiff Point,257,12721940.07,6
47.66142,-122.49884,10,24,Skiff Point,258,2870482.827,6
47.66142,-122.49884,10,24,Skiff Point,259,5003819.061,6
47.66142,-122.49884,10,24,Skiff Point,260,1852789.45,6
47.55622,-122.54281,10,33,"Manchester, Stormwater Outfall",261,12587429.83,5
47.55622,-122.54281,10,33,"Manchester, Stormwater Outfall",262,11029903.1,5
47.55622,-122.54281,10,33,"Manchester, Stormwater Outfall",263,4659442.442,5
47.55622,-122.54281,10,33,"Manchester, Stormwater Outfall",264,2585048.133,5
47.33775,-122.59014,11,44,Donkey Creek Delta,265,4434123.279,6
47.33775,-122.59014,11,44,Donkey Creek Delta,266,2345306.358,6
47.33775,-122.59014,11,44,Donkey Creek Delta,267,1872904.6,6
47.78184,-122.83474,12,30,Broad Spit (Fisherman's Point),269,1266434.187,7
47.78184,-122.83474,12,30,Broad Spit (Fisherman's Point),270,1677282.934,7
47.78184,-122.83474,12,30,Broad Spit (Fisherman's Point),271,4814193.5,7
47.78184,-122.83474,12,30,Broad Spit (Fisherman's Point),272,1386295.483,7
47.346537,-122.82236,13,39,Reach Island,273,7180437.579,3
47.346537,-122.82236,13,39,Reach Island,274,7550633.228,3
47.346537,-122.82236,13,39,Reach Island,275,1944973.493,3
47.346537,-122.82236,13,39,Reach Island,276,6208335.517,3
47.44896,-122.372267,11,22,Three Tree Point,277,8438404.147,4
47.44896,-122.372267,11,22,Three Tree Point,278,9704454.95,4
47.44896,-122.372267,11,22,Three Tree Point,279,10493027.31,4
47.44896,-122.372267,11,22,Three Tree Point,280,2838172.898,4
47.50161,-122.38593,11,13,Arroyo Beach,281,3284818.832,5
47.50161,-122.38593,11,13,Arroyo Beach,282,6484263.485,5
47.50161,-122.38593,11,13,Arroyo Beach,283,8681719.944,5
47.50161,-122.38593,11,13,Arroyo Beach,284,1813467.799,5
47.50161,-122.38593,11,13,Arroyo Beach,285,1987287.444,5
47.50161,-122.38593,11,13,Arroyo Beach,286,6254098.963,5
47.6663,-122.4018,10,16,"Salmon Bay, Commodore Park",287,5250261.746,7
47.6663,-122.4018,10,16,"Salmon Bay, Commodore Park",288,6062837.107,7
47.6663,-122.4018,10,16,"Salmon Bay, Commodore Park",289,1817198.502,7
47.6663,-122.4018,10,16,"Salmon Bay, Commodore Park",290,4648411.807,7
47.671678,-122.406663,10,18,Shilshole Bay,291,3787448.393,8
47.671678,-122.406663,10,18,Shilshole Bay,292,2701768.594,8
47.671678,-122.406663,10,18,Shilshole Bay,293,1902525.416,8
47.671678,-122.406663,10,18,Shilshole Bay,294,2449213.424,8
47.60255,-122.66992,10,27,Rocky Point,295,25070825.1,4
47.60255,-122.66992,10,27,Rocky Point,296,1980530.542,4
47.60255,-122.66992,10,27,Rocky Point,297,7956123.397,4
47.60255,-122.66992,10,27,Rocky Point,298,2871726.43,4
47.5833538,-122.6414587,10,37,Lions Park,299,8242276.652,4
47.5833538,-122.6414587,10,37,Lions Park,300,8603570.336,4
47.5833538,-122.6414587,10,37,Lions Park,301,2556546.506,4
47.5833538,-122.6414587,10,37,Lions Park,302,6090271.547,4
48.255358,-122.507014,8.1,7,North Camano,303,8854710.291,2
48.255358,-122.507014,8.1,7,North Camano,304,32449887.32,2
48.255358,-122.507014,8.1,7,North Camano,305,5141533.342,2
48.255358,-122.507014,8.1,7,North Camano,306,3249105.519,2
48.018127,-122.699524,9,11,Maristone Island,307,2150183.216,1
48.018127,-122.699524,9,11,Maristone Island,308,5028928.727,1
48.018127,-122.699524,9,11,Maristone Island,309,5113634.72,1
48.018127,-122.699524,9,11,Maristone Island,310,11969753.87,1
48.018127,-122.699524,9,11,Maristone Island,311,1925814.333,1
48.018127,-122.699524,9,11,Maristone Island,312,2078574.506,1
